poema,"Cuando llegue la luna llena iré a Santiago de Cuba,
iré a Santiago
en un coche de agua negra,
iré a Santiago,
cantarán los techos de palmera,
iré a Santiago.
Cuando la palma quiere ser cigüeña
iré a Santiago
y cuando quiere ser medusa el plátano
iré ",,"a Santiago.
Iré a Santiago
con la rubia cabeza de Fonseca.
Iré a Santiago.
Y con ",la ,"rosa de Romeo y Julieta
iré a Santiago.
Mar de papel y plata de monedas.
Iré a Santiago",".
¡","Oh Cuba! ¡Oh ritmo de semillas secas!
Iré a Santiago",".
¡","Oh cintura caliente y gota de madera!
Iré a Santiago.
Arpa de troncos vivos. Caimán. Flor de tabaco.
Iré a Santiago.
Siempre he dicho que yo iría ",,"a Santiago
",en ,"un coche de agua negra.
Iré a Santiago.
Brisa y alcohol en las ruedas
",iré ,"a Santiago.
Mi coral en la tiniebla
",iré ,"a Santiago.
El mar ahogado en la arena
",iré ,a Santiago,",
calor ","blanco, fruta muerta.
Iré a Santiago",".
¡",Oh bovino frescor de cañavera,"!
¡",Oh Cuba,! ¡,"Oh curva de suspiro y barro!
Iré a Santiago",.
cancion_AnaBelén_162,"Cuando llegue la luna llena iré a Santiago de Cuba,
 iré a Santiago en un coche
 de agua negra,
 iré a Santiago,
 cantarán los techos de palmera,
 iré a Santiago.
 Cuando la palma quiere ser cigüeña
 iré a Santiago
 y cuando quiere ser medusa el plátano
 iré ","a Santiago.
 Iré a Santiago.
 Iré ","a Santiago.
 Iré a Santiago
 con la rubia cabeza de Fonseca.
 Iré a Santiago.
 Y con ",el ,"rosa de Romeo y Julieta
 iré a Santiago.
 Mar de papel y plata de monedas.
 Iré a Santiago",".
 ¡","Oh Cuba! ¡Oh ritmo de semillas secas!
 Iré a Santiago",".
 ¡","Oh cintura caliente y gota de madera!
 Iré a Santiago.
 Arpa de troncos vivos. Caimán. Flor de tabaco.
 Iré a Santiago.
 Siempre he dicho que yo iría ","a Santiago.
 Iré a Santiago.
 Iré a Santiago.
 Iré a Santiago.
 Iré a Santiago.
 Cantarán los techos de palmera,
 iré a Santiago.
 Cuando la palma quiere ser cigüeña
 iré a Santiago.
 Iré a Santiago.
 Iré a Santiago.
 Con la rubia cabeza de Fonseca.
 Iré a Santiago.
 Y con la rosa de Romeo y Julieta
 iré ",a Santiago,".
 En ","un coche de agua negra.
 Iré a Santiago.
 Brisa y alcohol en las ruedas",".
 Iré ","a Santiago.
 Mi coral en la tiniebla",".
 Iré ","a Santiago.
 El mar ahogado en la arena",".
 Iré ",a Santiago,".
 Calor ","blanco, fruta muerta.
 Iré a Santiago",".
 ¡",Oh bovino frescor de cañavera,"!
 Iré a Santiago.
 Iré a Santiago.
 Iré a Santiago.
 Iré a Santiago.
 ¡",Oh Cuba,"!
 Iré a Santiago.
 ¡","Oh curva de suspiro y barro!
 Iré a Santiago",".
 (Transcripción propia a partir del audio, a falta de buena fuente escrita; la
                    puntuación y ortografía son estimadas)."
